@relation 'corpus-weka.filters.unsupervised.attribute.Remove-V-R4812,3190,6771,3992,2668,3158,6530,6069,296,3976,3083,7188'

@attribute c_£ numeric
@attribute c_47 numeric
@attribute w_cal numeric
@attribute w_p numeric
@attribute w_txt numeric
@attribute c_33 numeric
@attribute w_claim numeric
@attribute w_to numeric
@attribute w_fre numeric
@attribute w_i numeric
@attribute w_www numeric
@attribute CLASS {SPAM,HAM}

@data
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,3.44972,0,1.79284,3.93452,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,7.17097,0,7.87059,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,4.51536,0,0,0,0,0,0,0.983824,0,HAM
0,0,4.51536,0,0,0,0,3.58548,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,3.58567,0,2.39032,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
6.14582,0,2.25768,0,0,0,3.93452,1.19516,0,0,0,SPAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,SPAM
0,0,0,0,0,1.79284,0,2.39032,0,0,4.0207,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,15.423,0,3.44972,3.5019,1.79284,0,3.58548,0,0,0,SPAM
3.07291,0,2.25768,0,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,3.0846,2.25768,3.44972,0,0,0,1.19516,0,0,0,SPAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,6.16921,0,3.44972,3.5019,0,0,1.19516,0,0.983824,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,7.00381,0,0,3.58548,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,3.44972,3.5019,0,0,1.19516,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,2.95147,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,3.58567,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
3.07291,0,4.51536,0,0,1.79284,3.93452,1.19516,0,0,0,SPAM
3.07291,0,0,0,3.5019,0,0,1.19516,3.3376,0,4.0207,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,2.95147,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,HAM
3.07291,0,2.25768,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
6.14582,3.0846,2.25768,0,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,2.95147,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,2.25768,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,3.0846,2.25768,3.44972,0,3.58567,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
6.14582,0,2.25768,0,0,0,3.93452,0,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
3.07291,0,0,0,0,1.79284,0,3.58548,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,4.51536,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,2.39032,0,0.983824,0,HAM
0,0,2.25768,0,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,2.95147,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,1.96765,0,HAM
0,0,0,3.44972,0,0,0,2.39032,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
3.07291,0,0,0,0,0,0,0,0,2.95147,0,HAM
0,0,0,0,0,0,0,2.39032,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,1.79284,0,2.39032,0,0,0,SPAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,9.56129,0,7.87059,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
6.14582,0,2.25768,0,0,3.58567,3.93452,2.39032,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,3.58567,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
3.07291,0,0,0,3.5019,0,0,1.19516,0,0,4.0207,SPAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,1.79284,0,1.19516,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,6.16921,4.51536,3.44972,0,3.58567,0,1.19516,0,0,0,SPAM
0,0,2.25768,0,0,0,0,2.39032,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,8.96418,0,0,0,4.91912,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
3.07291,6.16921,4.51536,0,0,7.17135,0,1.19516,0,0,0,SPAM
0,0,0,0,0,1.79284,0,1.19516,0,6.88677,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,0,0,HAM
0,0,0,3.44972,0,0,0,2.39032,0,0,4.0207,SPAM
0,0,0,0,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,3.0846,0,3.44972,3.5019,1.79284,3.93452,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,3.58567,0,0,0,0.983824,0,HAM
3.07291,0,0,0,3.5019,5.37851,0,1.19516,0,0,0,SPAM
0,0,2.25768,0,0,0,0,2.39032,0,10.8221,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
6.14582,0,0,0,0,7.17135,3.93452,1.19516,0,0,0,SPAM
0,0,2.25768,0,0,1.79284,3.93452,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,4.0207,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,0,0,HAM
0,3.0846,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0,0,HAM
3.07291,3.0846,0,0,3.5019,3.58567,0,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
6.14582,0,2.25768,3.44972,0,0,3.93452,3.58548,0,0,0,SPAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,1.79284,3.93452,2.39032,0,0,0,SPAM
0,0,0,0,0,1.79284,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
3.07291,0,0,0,3.5019,0,0,1.19516,0,0,4.0207,SPAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
3.07291,3.0846,2.25768,0,0,0,3.93452,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,6.16921,2.25768,0,0,0,0,1.19516,0,0,4.0207,SPAM
0,0,2.25768,0,0,0,0,5.97581,0,2.95147,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,8.96418,0,0,0,0,0,HAM
0,0,0,3.44972,0,1.79284,0,2.39032,0,0.983824,0,SPAM
0,0,0,0,0,1.79284,3.93452,2.39032,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,8.96418,0,2.39032,0,5.90294,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,3.0846,0,3.44972,3.5019,1.79284,0,1.19516,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,3.58567,0,2.39032,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
6.14582,0,2.25768,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,9.25381,2.25768,0,3.5019,0,0,0,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
3.07291,6.16921,4.51536,0,0,7.17135,0,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
6.14582,3.0846,2.25768,0,0,3.58567,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,3.58567,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1.79284,0,2.39032,0,0.983824,0,HAM
6.14582,0,2.25768,3.44972,0,0,3.93452,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
3.07291,0,2.25768,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,3.3376,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,6.6752,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,3.58567,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,2.39032,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,3.0846,0,0,0,1.79284,0,0,0,0,0,SPAM
3.07291,3.0846,2.25768,0,0,1.79284,0,0,0,0.983824,0,SPAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
3.07291,0,2.25768,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,2.95147,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,0,3.44972,0,1.79284,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,2.39032,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,2.95147,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
3.07291,0,0,0,0,0,0,1.19516,0,0,4.0207,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,3.0846,0,0,0,3.58567,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,1.96765,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,1.19516,3.3376,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,1.79284,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,1.96765,0,HAM
0,0,2.25768,0,0,0,0,0,0,0,0,SPAM
0,0,2.25768,0,0,0,0,0,0,0,0,HAM
0,0,2.25768,0,0,0,0,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,2.25768,0,0,0,0,1.19516,0,0,0,HAM
0,0,2.25768,0,0,7.17135,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,1.19516,0,0.983824,0,HAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
0,0,0,0,0,0,0,1.19516,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
6.14582,0,0,0,3.5019,0,0,1.19516,0,0,4.0207,SPAM
6.14582,0,0,0,3.5019,0,0,1.19516,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0.983824,0,HAM
